status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
 1. section open 65059 Laboratory-Discussion AYP 05:00PM - 06:50PM W       1214 Siebel Center for Comp Sci Chapman, W
 1. section open 65061 Laboratory-Discussion AYQ 05:00PM - 06:50PM W       1105 Siebel Center for Comp Sci Chapman, W
-------------------------------------------------------------------------------------
CS 126  : Software Design Studio
 section restricted 66322 Lecture-Discussion SDS 09:30AM - 10:45AM TR      1105 Siebel Center for Comp Sci Zilles, C
-------------------------------------------------------------------------------------
CS 173  : Discrete Structures
 section closed 51495 Discussion/ Recitation ADA 02:00PM - 02:50PM R       1111 Siebel Center for Comp Sci Agha, G
 section closed 51496 Discussion/ Recitation ADB 03:00PM - 03:50PM R       1111 Siebel Center for Comp Sci Agha, G
 section closed 51497 Discussion/ Recitation ADC 04:00PM - 04:50PM R       1111 Siebel Center for Comp Sci Agha, G
 1. section open 51498 Discussion/ Recitation ADD 05:00PM - 05:50PM R       1111 Siebel Center for Comp Sci Agha, G
 1. section open 51499 Discussion/ Recitation ADE 09:00AM - 09:50AM F       1302 Siebel Center for Comp Sci Agha, G
 1. section open 60278 Discussion/ Recitation ADF 10:00AM - 10:50AM F       1302 Siebel Center for Comp Sci Agha, G
 1. section open 63143 Discussion/ Recitation ADG 11:00AM - 11:50AM F       1302 Siebel Center for Comp Sci Agha, G
 1. section open 63144 Discussion/ Recitation ADH 12:00PM - 12:50PM F       1302 Siebel Center for Comp Sci Agha, G
 section closed 63145 Discussion/ Recitation ADI 01:00PM - 01:50PM F       1302 Siebel Center for Comp Sci Agha, G
 1. section open 63146 Discussion/ Recitation ADJ 02:00PM - 02:50PM F       1302 Siebel Center for Comp Sci Agha, G
 section restricted 30102 Lecture AL1 09:30AM - 10:45AM TR      1002 Electrical & Computer Eng Bldg Agha, G
 1. section open 51500 Discussion/ Recitation BDA 11:00AM - 11:50AM F       1111 Siebel Center for Comp Sci Agha, G
 section closed 51469 Discussion/ Recitation BDB 12:00PM - 12:50PM F       1111 Siebel Center for Comp Sci Agha, G
 section closed 58923 Discussion/ Recitation BDC 01:00PM - 01:50PM F       1111 Siebel Center for Comp Sci Agha, G
 1. section open 59602 Discussion/ Recitation BDD 02:00PM - 02:50PM F       1111 Siebel Center for Comp Sci Agha, G
 1. section open 59603 Discussion/ Recitation BDE 03:00PM - 03:50PM F       1111 Siebel Center for Comp Sci Agha, G
 1. section open 60279 Discussion/ Recitation BDF 04:00PM - 04:50PM F       1111 Siebel Center for Comp Sci Agha, G
 section closed 40083 Lecture BL2 11:00AM - 12:15PM TR      1320 Digital Computer Laboratory Agha, G
-------------------------------------------------------------------------------------
CS 196  : Freshman Honors
 section restricted 31508 Lecture-Discussion 25  07:00PM - 09:20PM T       1404 Siebel Center for Comp Sci Chapman, W
 section restricted 58187 Lecture-Discussion 73  ARRANGED n.a n.a Fleck, M
-------------------------------------------------------------------------------------
CS 199  : Undergraduate Open Seminar
 section restricted 64580 Laboratory-Discussion 205 11:00AM - 12:15PM TR      1105 Siebel Center for Comp Sci Heeren, C
 section Pending 64386 Lecture CH  07:00PM - 08:50PM M       1302 Siebel Center for Comp Sci Heeren, C
 section Pending 55186 Lecture DYB 06:00PM - 07:50PM U       0224 Siebel Center for Comp Sci Chapman, W
 section restricted 56131 Lecture-Discussion G1H 03:00PM - 03:50PM MWF     102 Altgeld Hall Francis, G
-------------------------------------------------------------------------------------
CS 210  : Ethical & Professional Issues
 section closed 31516 Lecture-Discussion AL1 04:00PM - 04:50PM M       1320 Digital Computer Laboratory Cunningham, R
 1. section open 64582 Discussion/ Recitation AYA 11:00AM - 11:50AM T       1304 Siebel Center for Comp Sci Cunningham, R
 1. section open 64583 Discussion/ Recitation AYB 12:00PM - 12:50PM T       1304 Siebel Center for Comp Sci Cunningham, R
 section closed 64584 Discussion/ Recitation AYC 01:00PM - 01:50PM T       1304 Siebel Center for Comp Sci Cunningham, R
 section closed 64585 Discussion/ Recitation AYD 02:00PM - 02:50PM T       1304 Siebel Center for Comp Sci Cunningham, R
 1. section open 64586 Discussion/ Recitation AYE 03:00PM - 03:50PM T       1304 Siebel Center for Comp Sci Cunningham, R
 section closed 64587 Discussion/ Recitation AYF 04:00PM - 04:50PM T       1304 Siebel Center for Comp Sci Cunningham, R
-------------------------------------------------------------------------------------
CS 225  : Data Structures
 section closed 35917 Lecture AL1 11:00AM - 11:50AM MWF     1002 Electrical & Computer Eng Bldg Beckman, A
 section closed 35919 Lecture AL2 02:00PM - 02:50PM MWF     1002 Electrical & Computer Eng Bldg Beckman, A
 1. section open 35926 Laboratory-Discussion AYB 07:00PM - 08:50PM W       0224 Siebel Center for Comp Sci Beckman, A
